# GridTwin ZA - transmission substations with coordinates and supply areas
# CC BY 4.0 - attribution required. gridtwinza.org
# source fingerprint: gtza-0fe0a41096f9685a
# NOTE: `planned` marks stations not yet energised. Coordinates are compiled from
# published sources and cross-checked against transmission line endpoints; a small
# number remain approximate and are flagged in the source file.
name,lat,lng,kv,supply_area,owner,planned,source
Kookfontein,-26.5879,27.98756,275,Gauteng,,no,osm
Koring,-32.71225,21.25975,400,Western Cape,,yes,dbsa
Koruson,-31.3545,24.82183,400,Hydra Central,EDF Power Solutions,no,dbsa
Kriel,-26.2562,29.17632,400,Mpumalanga,,no,dbsa
Kronos,-30.02251,22.3383,400,Northern Cape,,no,shp
Kruispunt,-26.20993,29.09253,275,Mpumalanga,,no,osm
Kusile,-25.9135,28.9138,400,Mpumalanga,,no,dbsa
Kwagga,-25.75752,28.10554,275,Gauteng,,no,osm
Leander,-27.94486,26.79991,400,Free State,,no,dbsa
Lepini,-26.0323,28.17963,275,Gauteng,,no,osm
Leseding,-24.4395,30.01711,400,Limpopo,,no,osm
Lethabo,-26.73911,27.97573,275,Free State,,no,dbsa
Lewensaar,-28.2119,22.59514,275,Northern Cape,,no,osm
Lomond,-25.80234,27.93927,275,North West,,no,osm
Lulamisa,-25.96522,28.01099,400,Gauteng,,no,osm
Majuba,-27.09809,29.76827,400,Mpumalanga,,no,dbsa
Makalu,-26.82351,27.9097,275,Gauteng,,no,osm
Manogeng,-25.10858,29.82662,400,Mpumalanga,,no,osm
Marang,-25.61307,27.33478,400,North West,,no,osm
Marathon,-25.40976,30.92249,275,Mpumalanga,,no,osm
Matimba,-23.66816,27.61525,400,Limpopo,,no,osm
Matla,-26.28276,29.13905,400,Mpumalanga,,no,dbsa
Medupi,-23.70306,27.56714,400,Limpopo,,no,osm
Merapi,-28.94307,27.08419,275,Free State,,no,osm
Mercury,-27.00431,26.82019,400,North West,,no,manual
Merensky,-24.71952,30.2216,400,Limpopo,,no,osm
Mersey,-29.39342,30.4775,400,Kwazulu Natal,,no,dbsa
Midas,-26.3871,27.5279,400,North West,,no,osm
Minerva,-25.92158,28.08017,400,Gauteng,,no,osm
Mookodi,-27.01285,24.74965,400,North West,,no,shp
Muldersvlei,-33.81813,18.80559,400,Western Cape,,no,osm
Nama,-29.63235,17.88402,220,Northern Cape,,no,shp
Neptune,-32.90242,27.8577,400,Eastern Cape,,no,dbsa
Nevis,-26.24278,28.53833,275,Gauteng,,no,osm
Ngwedi,-25.40638,27.08693,400,North West,,no,osm
Nieuwehoop,-29.15027,21.33842,400,Northern Cape,,no,manual
Njala,-25.84829,28.29052,275,Gauteng,,no,osm
