# GridTwin ZA - DFFE environmental authorisations for renewable projects
# CC BY 4.0 - attribution required. gridtwinza.org
# source fingerprint: gtza-7f4d8068c08bbb07
# NOTE: PERMITS, NOT COMMISSIONING. An authorisation is not a built plant and not a
# grid connection. Permitted capacity exceeds built capacity by roughly ten times.
# Use for LOCATION and intent; use operational_renewable_capacity.csv for what exists.
name,province,technology,mw,status,decided,lat,lng
"The proposed Larissa Solar Power Plant near Poortje, Gauteng Province",Gauteng,Solar PV,240.0,Approved,2024-12-05,-26.4504,27.73137
"The proposed Electra Solar Power Plant near Poortje, Gauteng Province",Gauteng,Solar PV,150.0,Approved,2024-12-05,-26.45776,27.73349
"The proposed Mokolobane Photovoltaic Solar Energy Facility and Associated Infrastructure, ",Free State,Solar PV,1000.0,Approved,2025-02-17,-28.90189,26.97406
The proposed development of the ABO Ujekamanzi Wind Energy Facility 1 and associated infra,Mpumalanga,Solar PV,300.0,Approved,2025-03-11,-26.80356,29.94278
The proposed development of the ABO Ujekamanzi Wind Energy Facility 2 and associated infra,Mpumalanga,Solar PV,100.0,Refused,2025-03-12,-26.92882,29.92098
The Proposed Suikerbos PV 1 and Associated Infrastructure in the Midvaal Local Municipalit,Gauteng,Solar PV,180.0,Approved,2025-03-11,-26.69778,28.11454
The Proposed Suikerbos PV 3 and Associated Infrastructure in the Midvaal Local Municipalit,Gauteng,Solar PV,240.0,Approved,2025-03-11,-26.67906,28.0871
Proposed up to 240 MW Muiskraal Solar 1 Photovoltaic Solar Energy Facility near Potchefstr,North West,Solar PV,240.0,Approved,2025-04-08,-26.43021,27.18395
The proposed Suikerbos PV 4 Photovoltaic Solar Energy Facility and Associated Infrastructu,Gauteng,Solar PV,250.0,Approved,2025-03-19,-26.68569,28.07118
Proposed 75MW PV renewable Energy Solar Facility and Associated Infrastructure on the Rema,Western Cape,Solar PV,75.0,Approved,2015-12-03,-33.38134,20.02021
"The proposed development of the Padloper Solar PV Facility 5, the proposed development of ",Western Cape,Solar PV,150.0,Approved,2024-01-23,-31.91274,23.88614
"The proposed development of the Padloper Solar PV Facility 6, the proposed development of ",Western Cape,Solar PV,100.0,Approved,2024-01-25,-31.91622,23.89502
"The proposed development of the Padloper Solar PV Facility 7, the proposed development of ",Western Cape,Solar PV,150.0,Approved,2024-01-25,-31.91622,23.89502
"The development of the Witfontein Solar PV 1 near Viljoenskroon, Free State Province",Free State,Solar PV,240.0,Approved,2024-02-02,-27.0545,26.8783
"The development of the Rudolph Solar PV 1 near Viljoenskroon, Free State Province",Free State,Solar PV,240.0,Approved,2024-01-29,-27.01399,26.91862
"The Proposed Paradys Solar PV 1 near Viljoenskroon, Free State Province",Free State,Solar PV,240.0,Approved,2024-01-31,-26.98609,26.92354
"The development of the Mooiwater Solar PV 1 near Viljoenskroon, Free State Province",Free State,Solar PV,140.0,Approved,2024-01-29,-27.0761,26.91621
"FE Tango Wind Energy Facility, within the Dr Beyers Naude Local Municipality and the Great",Eastern Cape,Wind,150.0,Approved,2024-01-29,-32.39132,23.76805
The proposed development of the Padloper Solar Pv Facility 1 and associated infrastructure,Northern Cape,Solar PV,1000.0,Approved,2024-03-07,-31.74831,23.85463
The proposed development of the Padloper Solar PV Facility 2 and associated infrastructure,Western Cape,Solar PV,150.0,Approved,2024-03-07,-31.73446,23.78686
The proposed development of the Padloper Solar PV Facility 3 and associated infrastructure,Western Cape,Solar PV,150.0,Approved,2024-03-08,-31.73446,23.78686
