Scenario,Power Station Name,Grouping,Carrier,Unit size (MW),Number units,Capacity (MW),Commissioning Date,Decommissioning Date,Heat Rate (GJ/MWh),CO2 Emissions (kgCO2/MWh),Fuel Price (R/GJ),Max Ramp Up (%/h),Max Ramp Down (%/h),Max Ramp Start Up (%/h),Max Ramp Shut Down (%/h),Min Stable Level (%),Min Up Time (h),Min Down Time (h),Variable O&M Cost (R/MWh),Fixed O&M Cost (R/kW/yr),Unit Start Up Cost (R),Start Up Cost (R),Shut Down Cost (R),GPS Latitude,GPS Longitude,geometry,NAME_1,index_right,name,region
BASE,Koeberg,eskom,nuclear,927.0,2.0,1854.0,-,2047,11.111,0.0,18,0.1,0.1,0.05,0.05,0.0,,,56.0068259385666,1477.33560864619,0.0,0.0,0,-33.67359354,18.428247,POINT (18.428247 -33.67359354),Western Cape,9,Western Cape,Western Cape
BASE,Ankerlig,eskom,ocgt_diesel,148.0,9.0,1332.0,-,2039,11.519,574.0,373,,,,,0.0,,,3.73378839590444,243.940841865757,0.0,0.0,0,-33.592,18.4607,POINT (18.4607 -33.592),Western Cape,9,Western Cape,Western Cape
BASE,Gourikwa,eskom,ocgt_diesel,148.0,5.0,740.0,-,2038,11.519,574.0,373,,,,,0.0,,,3.73378839590444,243.940841865757,0.0,0.0,0,-34.16526,21.96077,POINT (21.96077 -34.16526),Western Cape,9,Western Cape,Western Cape
BASE,Acacia,eskom,ocgt_avf,57.0,3.0,171.0,-,2026,11.519,574.0,373,,,,,0.0,,,3.73378839590444,243.940841865757,0.0,0.0,0,-33.88408,18.53361,POINT (18.53361 -33.88408),Western Cape,9,Western Cape,Western Cape
BASE,PortRex,eskom,ocgt_avf,57.0,3.0,171.0,-,2026,11.519,574.0,373,,,,,0.0,,,3.73378839590444,243.940841865757,0.0,0.0,0,-33.02739,27.88382,POINT (27.88382 -33.02739),Eastern Cape,0,Eastern Cape,Eastern Cape
BASE,Gariep,eskom,hydro,90.0,4.0,360.0,-,beyond 2050,-,0.0,-,,,,,0.0,,,435.608646188851,0.0,0.0,0.0,0,-30.62396,25.50403,POINT (25.50403 -30.62396),Eastern Cape,3,Hydra Central,Hydra Central
BASE,Vanderkloof,eskom,hydro,120.0,2.0,240.0,-,beyond 2050,-,0.0,-,,,,,0.0,,,435.608646188851,0.0,0.0,0.0,0,-29.99337,24.73384,POINT (24.73384 -29.99337),Northern Cape,3,Hydra Central,Hydra Central
BASE,AcwaDao,RMIPPP,rmippp,150.0,1.0,150.0,2025,2045,9.16,,-,,,,,0.0,,,,0.0,0.0,0.0,0,-28.8891461968036,21.9800586392359,POINT (21.9800586392359 -28.8891461968036),Northern Cape,8,Northern Cape,Northern Cape
BASE,MuliloTotalHydra,RMIPPP,rmippp,75.0,1.0,75.0,2025,2045,9.16,,-,,,,,0.0,,,1800.0,0.0,0.0,0.0,0,-30.67566,24.06759,POINT (24.06759 -30.67566),Northern Cape,3,Hydra Central,Hydra Central
BASE,Oya,RMIPPP,rmippp,128.0,1.0,128.0,2025,2045,9.16,0.0,-,,,,,0.0,,,1800.0,0.0,0.0,0.0,0,-32.84891,20.32363,POINT (20.32363 -32.84891),Northern Cape,9,Western Cape,Western Cape
